slug,district,name,party_name,party_abbr,vote
ramechhap-1,Ramechhap,Ram Chandra Khadka,Nepali Congress,NC,16307
rautahat-1,Rautahat,Rajesh Kumar Chaudhary,Rastriya Swatantra Party,RSP,28946
rautahat-1,Rautahat,Ajay Kumar Gupta,CPN-UML,CPN-UML,10693
rautahat-1,Rautahat,Anil Kumar Jha,Nepali Congress,NC,8574
rautahat-3,Rautahat,Rabindra Patel,Rastriya Swatantra Party,RSP,27318
rautahat-3,Rautahat,Govinda Chaudhary,Janata Samajwadi Party,JSP,11954
rautahat-3,Rautahat,Prabhu Sah,Nepal Sangyhia Samajbadi Party,Ekal Chunab Chinha,9890
rautahat-4,Rautahat,Ganesh Paudel,Rastriya Swatantra Party,RSP,36876
rautahat-4,Rautahat,Dev Prasad Timalsena,Nepali Congress,NC,15865
rautahat-4,Rautahat,Ram Kumar Bhattarai,Nepal Communist Party,NCP,9778
rupandehi-1,Rupandehi,Sunil Lamsal,Rastriya Swatantra Party,RSP,54845
rupandehi-1,Rupandehi,Hira Bahadur Khatri,Nepali Congress,NC,11982
rupandehi-1,Rupandehi,Prajwal Bohara,Rastriya Prajatantra Party,RPP,8301
rupandehi-2,Rupandehi,Sulabh Kharel,Rastriya Swatantra Party,RSP,56550
rupandehi-2,Rupandehi,Bishnu Prasad Paudel,CPN-UML,CPN-UML,12861
rupandehi-2,Rupandehi,Chunna Prasad Sharma,Nepali Congress,NC,9392
rupandehi-3,Rupandehi,Dr. Lekh Jung Thapa,Rastriya Swatantra Party,RSP,58814
rupandehi-3,Rupandehi,Sushil Gurung,Nepali Congress,NC,8435
rupandehi-3,Rupandehi,Basu Dev Ghimire,CPN-UML,CPN-UML,8275
rupandehi-4,Rupandehi,Kanhaiya Baniya,Rastriya Swatantra Party,RSP,28066
rupandehi-4,Rupandehi,Pramod Kumar Yadav,CPN-UML,CPN-UML,20262
rupandehi-4,Rupandehi,Ashutosh Mishra,Nepali Congress,NC,15613
rupandehi-5,Rupandehi,Taufik Ahmad Khan,Rastriya Swatantra Party,RSP,38806
rupandehi-5,Rupandehi,Khim Lal Bhattarai,CPN-UML,CPN-UML,13100
